Country,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Borrower's Obligation,Country_Code,Series_Name,Series_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,developed
Jordan,9515200000.0,859190391.3,1774301134.0,6881708475.0,4185763298.0,JOR,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2394366.197,14788732.39,24084507.04,21267605.63,23521126.76,27183098.59,24507042.25,28028169.01,0.0,0.0
Kenya,2486214900.0,270343573.4,135198818.8,2070688921.0,1082919881.0,KEN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,77305180.52,62162530.43,42413135.3,39191514.88,50346909.84,36900044.49,19722101.69,23566334.83,28437309.8,21238102.94,17804542.29,15092764.09,31781529.12,77528527.67,147498189.7,146182787.7,144483967.3,206821952.1,131726255.2,121644123.3,76192114.52,42251397.39,0.0,0.0
Kosovo,385645134.0,0.0,0.0,385645134.0,104339819.6,XKX,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,2151923.565,1676108.482,116017.3313,2409885.998,5473899.079,5702068.226,3703734.341,515984.4365,405738.3483,2930332.658,2712198.508,1698995.012,2629872.499,1939327.98,7061852.145,10273003.86,6203745.77,8176532.3,4397300.657,0.0
Lebanon,3750330000.0,1336819174.0,780525348.2,1962885478.0,853820903.9,LBN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,98.84,0.0,0.0,0.0,0.0,942199.4,12920910.57,40173765.91,32815724.76,28121287.53,34761108.11,34392576.1,32884145.91,22307143.2,15670585.06,22573047.82,5018810.253,4898958.376,0.0,0.0
Liberia,155950000.0,14693264.56,0.0,141256735.4,-0.02,LBR,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,32850000.0,279119.93,0.0,32570880.07,0.0,MDG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,10946466.17,7850614.743,22901362.99,6500089.4,22987712.4,12601449.05,19049398.45,56253427.49,49735633.25,42458444.22,26814639.39,6950648.925,14136946.34,18122663.83,6078177.073,17133514.85,8039022.438,18645925.52,17069695.66,13406102.97,10053481.3,12566964.16,0.0,0.0
Malawi,124100000.0,19583574.31,0.0,104516425.7,0.0,MWI,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,198089.4459,468950.8384,234434.6737,406086.369,953731.6472,429479.8176,429574.1563,429685.8735,429565.3055,429555.6106,429554.8387,440264.3346,460364.3869,1785278.67,2983399.544,2455935.523,2386959.618,3770944.366,4129637.46,58708128,90111342.91,69060691.93,0.0,0.0
Mexico,60570150465.0,7603604019.0,890963055.6,52830931354.0,14995434689.0,MEX,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,406846000,418500000,2216025539,2041737930,2150423060,2384797626,2506167696,2558165024,2393935171,2511538314,3015243396,3399954682,3647705203,3801442516,3834926121,3947789516,4299087599,4647755230,5123069376,4629408827,4478527629,4538833344,4320289480,0.0
Moldova,783680000.0,94516865.09,207131488.2,506321358.7,256905234.2,MDA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,1820000,1040000,1220000,3020000,2630000,2330000,4010000,7220000,14920000,10630000,12750000,16600000,18700000,24160000,25080000,18370000,19490000,25150000,29790000,31810000,26640000,52140000,44580000,0.0
Mongolia,233800000.0,0.0,198073891.4,35726108.62,35726108.62,MNG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250710,790260,2589800,4656009.72,12030269.39,14479922.25,12999781.95,15585952.21,24610007.25,15696187.19,16057466.74,26323961.65,24429073.68,31749163.16,33398294.11,0.0
